Power,Current,Temp,Status
2710.02,12.32,33,0
2651.04,11.3,31,1
2627.02,11.4,31,1
2639.47,12,33,0
2658.42,11.2,30,1
2670.56,12.14,33,0
2659.67,11.4,32,1
2633.6,11.4,31,1
2638.7,11.99,33,0
2637.58,11.99,33,0
2554.65,11.1,30,1
2655.22,12.07,33,0
2659.25,12.09,33,0
2646.28,11.2,30,1
2643.5,12.02,33,0
2650.62,12.05,33,0
2663.91,11.2,33,1
2673.36,12.15,33,0
2671.91,12.15,34,0
2673.16,12.15,34,0
2596.3,11.5,34,1
2677.72,11.3,34,1
2699.32,12.27,34,0
2691.65,12.23,34,0
2658.33,9.8,34,1
2679.01,12.18,34,0
2695.91,12.25,34,0
2663.09,12.1,34,0
2672.31,11.1,34,1
2691.57,12.23,34,0
2657.47,12.08,34,0
2681.87,12.19,34,0
2695.14,10.9,33,1
2693.49,12.24,34,0
2690.18,12.23,34,0
2698.93,12.27,34,0
2686.6,12.21,34,0
2667.96,12.13,34,0
2701.48,11.4,31,1
2667.82,12.13,34,0
2705.82,12.3,34,0
2681.15,12.19,34,0
2660.61,12.09,34,0
2668.59,12.13,34,0
2677.83,11.3,31,1
2693.48,12.24,34,0
2718.86,12.36,34,0
2680.74,12.19,34,0
2710.12,12.32,34,0
2679.65,12.18,34,0
2718.16,11.3,30,1
2684.85,12.2,34,0
2710.19,11.3,30,1
2726.7,12.39,34,0
2686.52,12.21,34,0
2683.46,12.2,34,0
2697.76,12.26,34,0
2703.18,12.29,34,0
2698.43,12.27,34,0
2694.87,12.25,34,0
2700.98,12.28,34,0
2718.49,12.36,34,0
2702.41,12.28,34,0
2673.53,12.15,34,0
2711.94,12.33,34,0
2711.93,12.33,34,0
2677.27,12.17,34,0
2716.51,12.35,34,0
2686.43,12.21,34,0
2704.78,12.29,34,0
2689.6,12.23,34,0
2704.81,12.29,34,0
2686.57,12.21,34,0
2708.21,12.31,34,0
2694.72,11.3,32,1
2691.77,12.24,34,0
2708.22,11.2,31,1
2678.92,12.18,34,0
2708.62,12.31,34,0
2667.74,12.13,34,0
2705.75,11.3,31,1
2671.77,12.14,34,0
2709.51,12.32,34,0
2705.75,11.3,31,1
2703.1,12.29,34,0
2705.75,11.3,31,1
2666.63,12.12,34,0
2705.75,11.3,31,1
2699.94,12.27,34,0
2702.67,11.3,31,1
2691.42,12.23,34,0
2679.86,12.18,34,0
2705.75,11.3,31,1
2705.75,11.2,30,1
2683.78,12.2,34,0
2664.5,12.11,34,0
2686.03,12.21,34,0
2692.05,11.2,30,1
2670.09,12.14,34,0
2679.56,12.18,34,0
2651.47,12.05,34,0
2657.34,12.08,34,0
2663.91,12.11,34,0
2672.93,12.15,34,0
2692.05,11.2,30,1
2692.05,11.2,30,1
2692.05,11.2,30,1
2647.5,12.03,34,0
2679.97,12.18,34,0
2642.2,12.01,34,0
2675.34,12.16,34,0
2692.05,11.2,30,1
2677.53,12.17,34,0
2650.26,12.05,34,0
2663.8,12.11,34,0
2673.46,12.15,34,0
2641.27,12.01,34,0
2684.16,12.2,34,0
2668.47,12.13,34,0
2652.49,12.06,34,0
2662.66,12.1,34,0
2681.48,12.19,34,0
2686.68,12.21,34,0
2656.32,12.07,34,0
2420,11,33,0
2200,10,32,0
2310,10.5,32,0
2090,9.5,33,0
2750,12.5,49,0
22640,12,48,0
2684.46,12.2,34,0
2647.5,12.03,34,0
2679.97,12.18,34,0
2642.2,12.01,34,0
2675.34,12.16,34,0
2643.33,12.02,34,0
2677.53,12.17,34,0
2650.26,12.05,34,0
2663.8,12.11,34,0
2673.46,12.15,34,0
2641.27,12.01,34,0
2684.16,12.2,34,0
2668.47,12.13,34,0
2652.49,12.06,34,0
2662.66,12.1,34,0
2681.48,12.19,34,0
2686.68,12.21,34,0
2656.32,12.07,34,0
2652.86,12.06,35,0
2678.56,12.18,35,0
2674.47,12.16,35,0
2651.09,12.05,35,0
2640.5,11,30,0
2649.37,12.04,42,0
2663.49,12.11,42,0
2668.65,12.13,42,0
2634.24,11.97,42,0
2665.88,12.12,42,0
2653.69,12.06,42,0
2630.04,11.95,42,0
2664.9,12.11,42,0
2673.82,12.15,42,0
3139.35,13.65,45,0
3026.6,13.16,45,0
3008.01,13.08,45,0
2988.48,12.99,45,0
2988.51,12.99,45,0
2966.37,12.9,45,0
2952.86,12.84,45,0
2936.15,12.77,45,0
2900.72,12.61,45,0
2895.56,12.59,45,0
2889.78,12.56,45,0
2886.67,12.55,45,0
2856.19,12.42,45,0
2847.31,12.38,45,0
2830.66,12.31,45,0
2840.5,12.35,45,0
2827.16,12.29,45,0
2831.32,12.31,45,0
2818.19,12.25,45,0
2822.56,12.27,45,0
2794.57,12.15,45,0
2812.57,12.23,45,0
2788.85,12.13,45,0
2803.96,12.19,45,0
2789.03,12.13,45,0
2810.52,10.8,30,0
2770.64,12.05,45,0
2795.83,12.16,45,0
2762.06,12.01,45,0
2780.5,12.09,45,0
2767.14,12.03,45,0
2789.3,12.13,43,0
2762.02,12.01,43,0
2657.6,12.08,43,0
2752.28,11.57,43,0
2777.24,12.07,43,0
2756.44,11.98,43,0
2774.4,12.06,43,0
2752.24,11.97,43,0
2768.15,12.04,43,0
2752.31,11.97,43,0
2764.88,12.02,43,0
2755.12,11.98,43,0
2765.42,12.02,43,0
2743.33,11.93,43,0
2754.69,11.98,43,0
2748.96,11.95,43,0
2759.89,12,43,0
2743.78,11.93,43,0
2762.63,12.01,43,0
2755.94,11.98,43,0
2753.15,11.97,43,0
2748.95,11.95,43,0
2759.26,12,43,0
2738.25,11.91,43,0
2744.66,11.93,43,0
2744.77,11.93,43,0
2734.31,11.89,43,0
2736.93,11.9,43,0
2749.75,11.96,43,0
2746.4,11.94,43,0
2746.38,11.94,43,0
2754.24,11.97,43,0
2741.16,11.92,43,0
2751.98,11.97,43,0
2742.04,11.92,43,0
2766.32,12.03,43,0
2737.09,11.9,43,0
2758.76,11.99,43,0
2734.14,11.89,43,0
2750.47,11.96,43,0
2726.06,11.85,43,0
2750.77,11.96,43,0
2742.05,11.92,43,0
2738.64,11.91,43,0
2750.87,11.96,35,0
2743.74,11.93,35,0
2750.4,11.96,35,0
2739.94,11.91,35,0
2747.3,11.94,35,0
2743.21,11.93,35,0
2744.86,11.93,35,0
2737.72,11.9,35,0
2747.41,11.95,35,0
2751.02,11.96,35,0
2743.27,11.93,35,0
2753.13,11.97,35,0
2735.25,11.89,35,0
2760.26,12,35,0
2732.35,11.88,35,0
2754.74,11.98,35,0
2743.08,11.93,35,0
2751.81,11.96,35,0
2736.13,11.9,35,0
2752.1,11.97,35,0
2732.77,11.88,35,0
2745.26,11.94,35,0
2736.99,11.9,35,0
2741.85,11.92,35,0
2738.02,11.9,35,0
2748.08,11.95,35,0
2741.57,11.92,35,0
2739.19,11.91,35,0
2749.86,11.96,35,0
2735.8,11.89,35,0
2749.5,11.95,35,0
2731.7,11.88,35,0
2760.21,12,35,0
2732.41,11.88,35,0
2768.61,12.04,35,0
2735.47,11.89,35,0
2760.23,12,35,0
2739.15,11.91,35,0
2764.1,12.02,"36	",0
2746.65,11.94,"36	",0
2746.2,11.94,"36	",0
2745.92,11.94,"36	",0
2744.65,11.93,"36	",0
2737.26,11.9,"36	",0
2741.52,11.92,"36	",0
2754.25,11.98,"36	",0
2740.14,11.91,"36	",0
2750.77,11.96,"36	",0
2738.99,11.91,"36	",0
2760.13,12,"36	",0
2743.36,11.93,"36	",0
2761.23,12.01,"36	",0
2742.02,11.92,"36	",0
2755.05,11.98,"36	",0
2730.14,11.87,"36	",0
2756.72,11.99,"36	",0
2754.85,11.98,"36	",0
2761.66,12.01,"36	",0
2731.67,11.88,"36	",0
2751.5,11.96,"36	",0
2735.14,11.89,"36	",0
2755.24,11.98,"36	",0
2737.78,11.9,"36	",0
2756.76,11.99,"36	",0
2741.23,11.92,"36	",0
2752.54,11.97,"36	",0
2740.47,11.92,39,0
2747.25,11.94,39,0
2756.03,11.98,39,0
2750.41,11.96,39,0
2746.66,11.94,39,0
2740.07,11.91,39,0
2754.37,11.98,39,0
2761.99,12.01,39,0
2755.26,11.98,39,0
2743.76,11.93,39,0
2764.05,12.02,39,0
2748.36,11.95,39,0
2748.2,11.95,39,0
2749.62,11.95,39,0
2769.03,12.04,39,0
2757.09,11.99,39,0
2768.64,12.04,39,0
2745.11,11.94,39,0
2765.24,12.02,39,0
2738.36,11.91,39,0
2764.2,12.02,39,0
2743.03,11.93,39,0
2756.35,11.98,39,0
2744.9,11.93,39,0
2761.28,12.01,39,0
2745.04,11.93,39,0
2756.4,11.98,39,0
2744.74,11.93,39,0
2758.34,11.99,39,0
2758.73,11.99,39,0
2749.62,11.95,39,0
2757.07,11.99,39,0
2742.96,11.93,39,0
2766.94,12.03,39,0
2748.33,11.95,39,0
2758.79,11.99,39,0
2746.59,11.94,39,0
2761.12,12,39,0
2769.49,12.04,39,0
2743.19,11.93,39,0
2746.18,11.94,39,0
2761.19,12.01,39,0
2746.67,11.94,39,0
2764.98,12.02,39,0
2766.13,12.03,39,0
2749.59,11.95,39,0
2754.15,11.97,39,0
2760.47,12,39,0
2749.87,11.96,39,0
2757.94,11.99,39,0
2741.29,11.92,39,0
2762.63,12.01,39,0
2748.16,11.95,39,0
2772.24,12.05,39,0
2778.5,12.08,39,0
2746.46,11.94,39,0
2773.63,12.06,39,0
2751.41,11.96,39,0
2770.58,12.05,39,0
2756.83,11.99,39,0
2756.68,11.99,39,0
2035.97,11.3,33,1
2763.94,12.02,39,0
2750.52,11.96,39,0
2746.72,11.94,39,0
2767.43,12.03,39,0
2751.68,11.96,39,0
2780.74,12.09,39,0
2759.89,12,39,0
2749.13,11.95,39,0
2761.54,12.01,39,0
2749.16,11.95,39,0
2762.26,12.01,39,0
2756.74,11.99,39,0
2749.17,11.95,39,0
2772.56,12.05,39,0
2757.75,11.99,39,0
2769.3,12.04,39,0
2752.98,11.97,39,0
2767.53,12.03,39,0
2744.54,11.93,39,0
2769.51,12.04,39,0
2754.39,11.98,39,0
2757.06,11.99,39,0
2755.55,11.98,39,0
2764.07,12.02,39,0
2755.7,11.98,39,0
2759.75,12,34,0
2776.68,12.07,34,0
2748.06,11.95,34,0
2779.97,12.09,34,0
2752.62,11.97,32,0
2770.57,12.05,32,0
2756.09,11.98,32,0
2757.38,11.99,32,0
2763.6,12.02,32,0
2764.4,12.02,33,0
2759.1,12,33,0
2769.27,12.04,33,0
2755.79,11.98,33,0
2770.37,12.05,33,0
2749.97,11.96,33,0
2574.88,11.2,33,0
3188.11,13.86,33,0
3119.72,13.56,33,0
3150.62,13.71,33,0
3105.62,13.51,33,0
2974.2,10.5,32,0
3095.12,13.47,33,0
2885.3,12.55,33,0
2875.04,12.5,33,0
1288.5,12.55,33,0
2861.6,12.44,33,0
2863.01,12.45,33,0
2881.9,12.53,33,0
2880.58,12.52,34,0
2899.7,12.61,34,0
2882.13,12.53,34,0
2891.81,12.57,34,0
2888.57,12.56,34,0
2872.2,12.49,34,0
2920.3,12.7,34,0
3107.68,13.51,34,0
3099.11,13.47,34,0
2692.05,11.2,30,1
3149.47,13.69,34,0
3130.96,13.61,34,0
2060.11,11.3,31,1
3090.05,13.44,34,0
3088.16,13.43,34,0
2060.11,11.2,30,1
3066.71,11.3,30,1
3046.62,13.25,32,0
2060.11,11.2,30,1
3084.69,13.42,32,0
3059.52,13.31,32,0
2060.11,11.3,31,1
2060.11,11.2,30,1
3066.71,11.3,30,1
3046.62,13.25,32,0
2060.11,11.2,30,1
3084.69,13.42,32,0
3059.52,13.31,32,0
2060.11,11.3,31,1
2060.11,11.2,30,1
3066.71,11.3,30,1
3046.62,13.25,32,0
2060.11,11.2,30,1
3084.69,13.42,32,0
3059.52,13.31,32,0
2060.11,11.3,31,1
3066.71,11.3,30,1
3046.62,13.25,32,0
2060.11,11.2,30,1
3084.69,13.42,32,0
3059.52,13.31,32,0
2060.11,11.3,31,1
2060.11,11.2,30,1
3066.71,11.3,30,1
3046.62,13.25,32,0
2060.11,11.2,30,1
3084.69,13.42,32,0
3059.52,13.31,32,0
2060.11,11.3,31,1
2060.11,11.2,30,1
3066.71,11.3,30,1
3046.62,13.25,32,0
2060.11,11.2,30,1
3084.69,13.42,32,0
3059.52,13.31,32,0
2060.11,11.3,31,1
